Temp,Q6,low,top
200.0,0.32015805607037223,0.06382278610563424,0.043374149726224887
250.0,0.2544450639443938,0.03171987494317702,0.04016822722995361
300.0,0.22779496449499945,0.029360458555296426,0.03719258288426011
350.0,0.19661714167670577,0.030999066831199407,0.04102382287787748
400.0,0.1407026430383946,0.017839582241641366,0.021324994176285472
450.0,0.1340455865743712,0.02947512521289926,0.04032221380036036
500.0,0.10729019745701361,0.02394501531300644,0.03111842547343395
550.0,0.08560580538259292,0.017876428067291922,0.026459605430830063
600.0,0.06850976306216454,0.015651987076593127,0.023093075086086615
650.0,0.06382233163602677,0.008650097937668785,0.010699627935968861
700.0,0.051448099172499324,0.01087815445649342,0.014840887230038215
750.0,0.04306030389567213,0.007454507415393642,0.01079624547663352
800.0,0.03285281828710706,0.009650976005830016,0.01892735535756422
850.0,0.03694590616787324,0.010505179113544781,0.020540387118692077
900.0,0.014516451962157357,0.004170723792470757,0.008205143828786784
950.0,0.018084866873582777,0.011234404798378306,0.31658488075874275
1000.0,0.007709452497225734,0.003757810417471556,0.012001492191087173
